camis,boro,critical_flag,cuisine_description,inspection_date,score,grade
40367420,Manhattan,Critical,American,2016-12-13T00:00:00Z,24,B
41468939,Brooklyn,Not Critical,Vegetarian,2017-03-20T00:00:00Z,9,A
50033431,Brooklyn,Not Critical,Spanish,2017-02-03T00:00:00Z,19,B
41136620,Queens,Not Critical,Mexican,2016-12-12T00:00:00Z,12,A
41705634,Bronx,Critical,Spanish,2015-12-21T00:00:00Z,63,C
40402333,Queens,Critical,American,2015-08-05T00:00:00Z,10,A
41678734,Bronx,Not Critical,American,2015-02-09T00:00:00Z,9,A
41299392,Manhattan,Not Critical,Cafe/coffee/Tea,2014-12-31T00:00:00Z,13,A
50012165,Queens,Critical,Chinese,2014-10-10T00:00:00Z,24,B
41624957,Queens,Critical,Chicken,2016-11-25T00:00:00Z,12,A
41692971,Brooklyn,Critical,Bakery,2017-04-11T00:00:00Z,32,C
50045207,Manhattan,Not Critical,Asian,2016-08-03T00:00:00Z,10,A
41662349,Brooklyn,Not Critical,American,2014-12-11T00:00:00Z,12,A
41401447,Brooklyn,Critical,American,2014-09-09T00:00:00Z,22,B
50002494,Brooklyn,Critical,American,2015-04-15T00:00:00Z,10,A
41717113,Queens,Not Critical,Chinese,2016-05-03T00:00:00Z,13,A
40646372,Manhattan,Not Critical,American,2016-01-27T00:00:00Z,9,A
50040832,Bronx,Critical,Chinese,2016-06-01T00:00:00Z,7,A
50033104,Manhattan,Not Critical,American,2017-01-20T00:00:00Z,12,A
40823884,Bronx,Not Critical,Italian,2016-11-01T00:00:00Z,6,A
50043259,Brooklyn,Not Critical,"Juice, Smoothies, Fruit Salads",2016-01-14T00:00:00Z,12,A
40700181,Brooklyn,Not Critical,Sandwiches,2016-04-15T00:00:00Z,13,A
41708185,Manhattan,Not Critical,Chinese,2016-06-15T00:00:00Z,19,B
40392063,Manhattan,Critical,Other,2015-02-18T00:00:00Z,7,A
50033978,Brooklyn,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",2017-08-30T00:00:00Z,12,A
40784405,Queens,Not Critical,Bakery,2015-04-08T00:00:00Z,10,A
41710558,Queens,Critical,Chinese,2015-07-30T00:00:00Z,25,B
